PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	VelInc_X	VelInc_Y	VelInc_Z
14623	10045921	-1.571922	0.852607	9.457212	0.124779	0.211853	0.019160	-0.003924	0.002128	0.023644
14624	10045946	-1.450756	0.937677	9.498740	0.110883	0.230478	0.014010	-0.003620	0.002341	0.023748
14625	10045971	-1.540104	0.976280	9.464299	0.090435	0.240472	0.003463	-0.003843	0.002438	0.023662
14626	10045996	-1.661318	0.951566	9.474769	0.074448	0.246371	-0.001833	-0.004146	0.002377	0.023688
14627	10046021	-1.765927	0.925590	9.448044	0.082503	0.249322	-0.017051	-0.004407	0.002312	0.023622
14628	10046046	-1.748186	0.852610	9.467739	0.078352	0.248231	-0.033635	-0.004363	0.002129	0.023671
14629	10046071	-1.687720	0.755018	9.456829	0.086592	0.250851	-0.050060	-0.004212	0.001885	0.023644
14630	10046096	-1.635435	0.774121	9.490132	0.089510	0.246914	-0.067541	-0.004081	0.001933	0.023727
14631	10046121	-1.734450	0.808608	9.472935	0.086886	0.246197	-0.084373	-0.004329	0.002019	0.023684
14632	10046146	-1.874825	0.892422	9.491730	0.079221	0.244828	-0.102012	-0.004680	0.002229	0.023731
14633	10046171	-1.979375	0.989954	9.525188	0.086235	0.238091	-0.117174	-0.004941	0.002473	0.023815
14634	10046196	-2.066392	1.037650	9.646148	0.084879	0.229603	-0.122273	-0.005159	0.002592	0.024117
14635	10046221	-2.128557	0.965889	9.701667	0.080615	0.219974	-0.138538	-0.005314	0.002413	0.024256
14636	10046246	-2.159132	0.888712	9.757171	0.076137	0.212455	-0.147547	-0.005391	0.002220	0.024395
14637	10046271	-2.102694	0.872212	9.754504	0.076482	0.201705	-0.157779	-0.005250	0.002179	0.024388
14638	10046296	-2.095766	0.873703	9.729267	0.077350	0.195141	-0.158788	-0.005233	0.002183	0.024325
14639	10046321	-2.077738	0.833996	9.672039	0.068372	0.186343	-0.163753	-0.005188	0.002084	0.024181
14640	10046346	-2.053036	0.788662	9.667914	0.068240	0.176243	-0.169413	-0.005127	0.001971	0.024171
14641	10046371	-2.082039	0.730907	9.671689	0.073288	0.171000	-0.171599	-0.005200	0.001826	0.024181
14642	10046396	-2.117876	0.767917	9.714291	0.072639	0.163782	-0.173382	-0.005289	0.001919	0.024287
14643	10046421	-2.119450	0.705889	9.741968	0.078946	0.165001	-0.172953	-0.005293	0.001763	0.024356
14644	10046446	-2.119538	0.730392	9.809808	0.080270	0.157845	-0.174846	-0.005294	0.001825	0.024526
14645	10046471	-2.284845	0.765997	9.858970	0.071660	0.145806	-0.161031	-0.005707	0.001914	0.024649
14646	10046496	-2.279776	0.580107	9.936713	0.071655	0.135104	-0.160070	-0.005695	0.001449	0.024843
14647	10046521	-2.290826	0.582869	9.934048	0.087312	0.124076	-0.165920	-0.005723	0.001456	0.024836
14648	10046546	-2.285094	0.550223	9.833009	0.081842	0.121997	-0.151703	-0.005709	0.001374	0.024584
14649	10046571	-2.211769	0.655005	9.751059	0.071372	0.111921	-0.140819	-0.005526	0.001636	0.024379
14650	10046596	-2.185688	0.558883	9.724185	0.080767	0.100549	-0.132458	-0.005461	0.001396	0.024311
14651	10046621	-2.152504	0.576937	9.679103	0.092892	0.097050	-0.125483	-0.005378	0.001440	0.024199
14652	10046646	-2.109693	0.618231	9.651389	0.099468	0.091986	-0.120713	-0.005271	0.001543	0.024129
14653	10046671	-2.054720	0.642786	9.700631	0.095278	0.084440	-0.111951	-0.005134	0.001605	0.024252
14654	10046696	-2.045090	0.646916	9.717916	0.095960	0.086981	-0.109653	-0.005110	0.001615	0.024296
14655	10046721	-2.072541	0.659415	9.679428	0.093955	0.088516	-0.101842	-0.005178	0.001646	0.024199
14656	10046746	-2.014779	0.648281	9.704662	0.093496	0.090604	-0.091974	-0.005034	0.001618	0.024262
14657	10046771	-2.014697	0.677205	9.690165	0.093415	0.092024	-0.091466	-0.005034	0.001691	0.024226
14658	10046796	-2.097322	0.663483	9.686068	0.086907	0.085075	-0.096674	-0.005241	0.001657	0.024216
14659	10046821	-2.127535	0.682850	9.662208	0.088887	0.093564	-0.087245	-0.005316	0.001705	0.024156
14660	10046846	-2.145394	0.704852	9.663604	0.097427	0.088784	-0.084437	-0.005361	0.001760	0.024160
14661	10046871	-2.042020	0.698132	9.609180	0.084110	0.088489	-0.080273	-0.005102	0.001743	0.024024
14662	10046896	-2.024490	0.707218	9.765956	0.099461	0.081733	-0.092366	-0.005059	0.001766	0.024416
14663	10046921	-2.126240	0.671735	9.686075	0.095245	0.082864	-0.089668	-0.005313	0.001677	0.024216
14664	10046946	-2.119411	0.701829	9.731345	0.093186	0.077577	-0.087324	-0.005296	0.001752	0.024329
14665	10046971	-2.159322	0.705983	9.731328	0.085935	0.073786	-0.084198	-0.005396	0.001763	0.024329
14666	10046996	-2.173067	0.751316	9.740775	0.089671	0.074711	-0.086080	-0.005430	0.001876	0.024353
14667	10047021	-2.170296	0.771915	9.739506	0.091912	0.066146	-0.087774	-0.005424	0.001928	0.024349
14668	10047046	-2.145358	0.772114	9.682419	0.078446	0.062156	-0.093539	-0.005361	0.001929	0.024207
14669	10047071	-2.076464	0.763976	9.658522	0.081933	0.056854	-0.091913	-0.005189	0.001908	0.024147
