PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Latitude	Longitude	Altitude
09200	14739001	-2.487649	0.118510	9.359717	-0.025302	-0.019784	-0.001107	39.978643384	116.338924050	46.135797
09201	14739026	-2.518120	0.075670	9.399469	-0.023279	-0.013007	-0.003348	39.978643383	116.338924051	46.135765
09202	14739051	-2.525128	0.046650	9.429970	-0.028034	-0.007993	-0.002013	39.978643382	116.338924052	46.135679
09203	14739076	-2.556824	0.076904	9.439366	-0.027907	-0.008138	-0.002705	39.978643381	116.338924053	46.135592
09204	14739101	-2.584393	0.072829	9.434008	-0.025314	-0.006498	0.001255	39.978643380	116.338924054	46.135505
09205	14739126	-2.657421	0.078306	9.444639	-0.022089	-0.001931	-0.004792	39.978643379	116.338924054	46.135419
09206	14739151	-2.663087	0.067128	9.489834	-0.019729	-0.003113	0.000918	39.978643379	116.338924055	46.135333
09207	14739176	-2.681062	0.058788	9.513757	-0.021863	-0.007713	0.000967	39.978643378	116.338924056	46.135247
09208	14739201	-2.710068	0.050433	9.528335	-0.022955	-0.009044	-0.003235	39.978643377	116.338924057	46.135162
09209	14739226	-2.677017	0.017439	9.520260	-0.021994	-0.011556	0.001346	39.978643376	116.338924058	46.131697
09210	14739251	-2.660466	0.033966	9.518995	-0.021817	-0.012970	0.003664	39.978643375	116.338924058	46.131610
09211	14739276	-2.663098	0.034121	9.481753	-0.023915	-0.016251	0.003776	39.978643374	116.338924059	46.131524
09212	14739301	-2.647945	0.027261	9.463096	-0.014482	-0.008807	0.004281	39.978643373	116.338924060	46.131437
09213	14739326	-2.609135	0.089344	9.434059	-0.014006	-0.011460	0.003915	39.978643373	116.338924061	46.131350
09214	14739351	-2.616098	0.086507	9.451338	-0.014329	-0.012913	-0.000218	39.978643372	116.338924062	46.131264
09215	14739376	-2.607785	0.116810	9.446125	-0.013103	-0.011703	0.004548	39.978643371	116.338924062	46.131177
