PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Latitude	Longitude	Altitude
04070	35505499	4.852591	20.344182	14.292003	-1.355052	-3.701526	1.258649	39.979389718	116.338916112	45.395874
04071	35505524	5.752467	18.042135	10.168978	-1.537971	-3.817009	1.163709	39.979389842	116.338916171	45.410659
04072	35505549	5.251746	15.628231	5.413575	-1.633221	-3.835408	1.016802	39.979389967	116.338916230	45.425304
04073	35505574	3.840232	13.327812	1.933214	-1.488613	-3.702916	0.784104	39.979390091	116.338916288	45.439886
04074	35505599	2.953477	12.483259	0.870376	-1.266970	-3.503379	0.467096	39.979390217	116.338916346	45.454294
04075	35505624	2.698102	12.187036	0.728293	-0.910535	-3.362555	0.157291	39.979390343	116.338916403	45.468595
04076	35505649	2.852289	12.110642	1.198143	-0.766941	-3.321887	-0.152803	39.979390470	116.338916460	45.482789
04077	35505674	4.169768	11.890518	1.084770	-0.592092	-3.262254	-0.366136	39.979390597	116.338916517	45.357492
04078	35505699	4.836185	10.347842	1.015921	-0.548519	-3.162135	-0.459862	39.979390724	116.338916573	45.363241
04079	35505724	5.765553	9.246506	1.760584	-0.519834	-2.990960	-0.467609	39.979390852	116.338916629	45.368873
04080	35505749	6.360566	8.452936	2.654448	-0.522409	-2.870264	-0.397103	39.979390980	116.338916685	45.374388
04081	35505774	6.272246	7.824999	3.478009	-0.577417	-2.817767	-0.235512	39.979391108	116.338916741	45.379777
04082	35505799	5.829156	7.136237	4.394491	-0.652459	-2.796319	-0.029175	39.979391237	116.338916796	45.385057
04083	35505824	5.668146	6.717503	5.577121	-0.717044	-2.778994	0.203188	39.979391366	116.338916852	45.390224
04084	35505849	4.957231	6.085089	6.272335	-0.597647	-2.736121	0.391177	39.979391495	116.338916907	45.395281
04085	35505874	4.285412	6.727683	7.484344	-0.377833	-2.706007	0.465562	39.979391625	116.338916963	45.325949
04086	35505899	3.594791	6.901712	8.774738	-0.134740	-2.722643	0.539065	39.979391755	116.338917019	45.327430
04087	35505924	2.781043	6.798792	10.211918	0.081629	-2.784404	0.633572	39.979391886	116.338917076	45.328811
04088	35505949	2.030791	6.594762	11.474577	0.323807	-2.853959	0.737389	39.979392018	116.338917132	45.330099
04089	35505974	1.395509	6.558888	12.607524	0.557893	-2.944155	0.855797	39.979392150	116.338917189	45.331320
04090	35505999	0.930274	6.554057	13.539822	0.771173	-3.052790	0.982290	39.979392283	116.338917247	45.332431
04091	35506024	0.552396	6.492402	14.228493	0.969015	-3.176548	1.110703	39.979392417	116.338917304	45.333460
04092	35506049	0.243996	6.397171	14.659107	1.164695	-3.311971	1.234309	39.979392551	116.338917363	45.334409
04093	35506074	-0.006923	6.454221	14.909275	1.329609	-3.452258	1.359407	39.979392686	116.338917422	45.241725
04094	35506099	-0.106528	6.463557	14.946648	1.460599	-3.582968	1.478944	39.979392822	116.338917481	45.239091
04095	35506124	-0.073318	6.414788	14.871977	1.587217	-3.733503	1.592331	39.979392959	116.338917541	45.236383
04098	35506149	-0.061382	6.418686	14.684399	1.672371	-3.832520	1.695159	39.979393097	116.338917601	45.233601
