PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	VelInc_X	VelInc_Y	VelInc_Z
09146	14737651	-2.697450	0.093335	9.468620	-0.003552	-0.008516	0.003615	-0.006744	0.000233	0.023671
09147	14737676	-2.685000	0.111296	9.458040	-0.003684	-0.008345	0.010185	-0.006713	0.000278	0.023645
09148	14737701	-2.662898	0.111363	9.439425	-0.004338	-0.008386	0.007617	-0.006657	0.000278	0.023598
09149	14737726	-2.666961	0.129278	9.424852	0.001073	-0.008646	0.003901	-0.006668	0.000323	0.023562
09150	14737751	-2.658778	0.096243	9.428734	0.000213	-0.009046	0.006214	-0.006647	0.000241	0.023572
09151	14737776	-2.649094	0.119609	9.439463	-0.001009	-0.010918	0.007270	-0.006623	0.000299	0.023599
09152	14737801	-2.643547	0.130606	9.435513	0.001596	-0.009722	0.003469	-0.006609	0.000326	0.023589
09153	14737826	-2.669782	0.129262	9.434155	-0.003886	-0.007969	0.002110	-0.006675	0.000323	0.023585
09154	14737851	-2.678090	0.125033	9.458090	-0.003888	-0.009149	-0.000392	-0.006695	0.000313	0.023645
09155	14737876	-2.686400	0.104390	9.468664	-0.002101	-0.010952	0.005133	-0.006716	0.000261	0.023672
09156	14737901	-2.691924	0.101597	9.467313	0.000672	-0.015159	0.003336	-0.006730	0.000254	0.023668
09157	14737926	-2.673994	0.125026	9.462075	-0.001070	-0.015683	0.005393	-0.006685	0.000313	0.023655
09158	14737951	-2.624245	0.112762	9.424826	-0.002566	-0.015031	0.002441	-0.006561	0.000282	0.023562
09159	14737976	-2.644971	0.074263	9.411371	-0.005326	-0.014395	0.006737	-0.006613	0.000186	0.023528
09160	14738001	-2.613206	0.099103	9.396832	-0.004479	-0.014076	0.002865	-0.006533	0.000248	0.023492
09161	14738026	-2.599407	0.107314	9.404862	-0.002156	-0.011051	0.006640	-0.006499	0.000268	0.023512
09162	14738051	-2.592583	0.098994	9.426113	-0.003034	-0.013514	0.002564	-0.006482	0.000248	0.023565
09163	14738076	-2.600885	0.097579	9.434084	-0.002383	-0.008515	-0.000377	-0.006502	0.000244	0.023585
09164	14738101	-2.615972	0.126545	9.423532	-0.003019	-0.009489	-0.002383	-0.006540	0.000316	0.023559
09165	14738126	-2.633930	0.122387	9.426160	-0.007324	-0.011009	0.001211	-0.006585	0.000306	0.023565
09166	14738151	-2.622801	0.154134	9.408975	-0.010492	-0.008649	-0.001691	-0.006557	0.000386	0.023522
09167	14738176	-2.622730	0.151468	9.378366	-0.002821	-0.012158	0.001062	-0.006557	0.000379	0.023446
09168	14738201	-2.661407	0.108724	9.396836	-0.017394	-0.009173	-0.003248	-0.006654	0.000272	0.023492
09169	14738226	-2.657436	0.096155	9.459325	-0.010881	-0.011215	-0.000380	-0.006644	0.000241	0.023648
09170	14738251	-2.709996	0.088979	9.527139	0.006290	-0.012065	-0.000687	-0.006775	0.000222	0.023818
09171	14738276	-2.663077	0.112432	9.508608	-0.010760	-0.011507	-0.002757	-0.006658	0.000281	0.023771
09172	14738301	-2.625731	0.074152	9.441984	-0.022750	-0.015847	0.001159	-0.006565	0.000186	0.023605
09173	14738326	-2.664361	0.006880	9.403151	-0.016186	-0.012366	-0.001299	-0.006661	0.000018	0.023508
09174	14738351	-2.665649	0.055045	9.405969	-0.003242	-0.011837	-0.002949	-0.006664	0.000138	0.023515
09175	14738376	-2.675273	0.118243	9.435447	-0.004941	-0.020058	-0.004083	-0.006689	0.000296	0.023588
09176	14738401	-2.665606	0.184174	9.462281	-0.014296	-0.017552	-0.006098	-0.006665	0.000461	0.023656
09177	14738426	-2.591066	0.170626	9.415719	-0.018251	-0.020017	-0.006871	-0.006478	0.000427	0.023539
09178	14738451	-2.495981	0.130762	9.389024	-0.021827	-0.017716	0.002173	-0.006240	0.000328	0.023472
09179	14738476	-2.554297	-0.080030	9.440185	-0.033477	-0.021948	0.021477	-0.006386	-0.000199	0.023600
09180	14738501	-2.675466	0.035539	9.469775	-0.033736	-0.023682	0.023849	-0.006689	0.000090	0.023674
09181	14738526	-2.695966	0.104464	9.432727	-0.038053	-0.024949	0.027259	-0.006741	0.000262	0.023582
09182	14738551	-2.676578	0.206227	9.461020	-0.044489	-0.026542	0.025709	-0.006692	0.000517	0.023652
09183	14738576	-2.701280	0.195468	9.402419	-0.036831	-0.029331	0.013694	-0.006754	0.000490	0.023506
09184	14738601	-2.709452	0.257342	9.410616	-0.034453	-0.023828	0.006637	-0.006774	0.000644	0.023526
09185	14738626	-2.737127	0.264120	9.443881	-0.029632	-0.028971	-0.002396	-0.006844	0.000661	0.023609
09186	14738651	-2.721976	0.247599	9.446495	-0.042216	-0.031082	-0.005619	-0.006806	0.000620	0.023616
09187	14738676	-2.721970	0.257225	9.449185	-0.036864	-0.031997	-0.003135	-0.006806	0.000644	0.023623
09188	14738701	-2.679354	0.206247	9.454354	-0.036439	-0.036985	-0.007445	-0.006699	0.000517	0.023636
09189	14738726	-2.675284	0.175943	9.464905	-0.039834	-0.032176	-0.002970	-0.006689	0.000441	0.023662
09190	14738751	-2.678238	0.084979	9.493883	-0.035268	-0.034827	-0.006498	-0.006697	0.000214	0.023734
09191	14738776	-2.678407	0.000945	9.513565	-0.033413	-0.038046	-0.010364	-0.006697	0.000003	0.023784
09192	14738801	-2.659172	-0.025223	9.514816	-0.027996	-0.033082	-0.003253	-0.006649	-0.000062	0.023787
09193	14738826	-2.635637	-0.025137	9.489559	-0.031964	-0.032441	0.000723	-0.006590	-0.000062	0.023724
09194	14738851	-2.664545	-0.000264	9.476316	-0.031000	-0.033942	0.005861	-0.006662	0.000000	0.023691
09195	14738876	-2.638289	0.016276	9.464401	-0.031170	-0.034031	0.008112	-0.006597	0.000042	0.023661
09196	14738901	-2.599557	0.050825	9.419293	-0.022483	-0.032745	0.006242	-0.006500	0.000128	0.023548
09197	14738926	-2.537271	0.114381	9.354351	-0.027062	-0.026245	0.001888	-0.006344	0.000287	0.023386
09198	14738951	-2.502687	0.150299	9.322562	-0.028855	-0.027455	0.004630	-0.006258	0.000377	0.023306
09199	14738976	-2.487543	0.151598	9.334536	-0.030127	-0.023744	0.003742	-0.006220	0.000380	0.023336
09200	14739001	-2.487649	0.118510	9.359717	-0.025302	-0.019784	-0.001107	-0.006220	0.000297	0.023399
09201	14739026	-2.518120	0.075670	9.399469	-0.023279	-0.013007	-0.003348	-0.006296	0.000190	0.023499
09202	14739051	-2.525128	0.046650	9.429970	-0.028034	-0.007993	-0.002013	-0.006313	0.000117	0.023575
09203	14739076	-2.556824	0.076904	9.439366	-0.027907	-0.008138	-0.002705	-0.006392	0.000193	0.023598
09204	14739101	-2.584393	0.072829	9.434008	-0.025314	-0.006498	0.001255	-0.006461	0.000183	0.023585
09205	14739126	-2.657421	0.078306	9.444639	-0.022089	-0.001931	-0.004792	-0.006644	0.000196	0.023612
09206	14739151	-2.663087	0.067128	9.489834	-0.019729	-0.003113	0.000918	-0.006658	0.000168	0.023725
09207	14739176	-2.681062	0.058788	9.513757	-0.021863	-0.007713	0.000967	-0.006703	0.000148	0.023784
