PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Latitude	Longitude	Altitude
41052	36411899	-2.205128	0.913683	9.674521	-0.006257	0.001848	-0.001632	39.979427501	116.338893735	46.887083
41053	36411924	-2.096021	0.995043	9.624301	-0.003648	0.006650	0.001965	39.979427500	116.338893734	46.887064
41054	36411949	-2.100916	1.082479	9.434378	-0.007300	0.008497	0.002815	39.979427500	116.338893733	46.887045
41055	36411974	-2.124190	1.130760	9.394619	-0.002362	0.004442	-0.005047	39.979427499	116.338893733	46.887022
41056	36411999	-2.099641	1.079558	9.472953	-0.011638	0.006612	-0.004931	39.979427498	116.338893732	46.887001
41057	36412024	-2.167902	0.865656	9.631831	-0.009456	0.005858	-0.004104	39.979427498	116.338893731	46.886981
41058	36412049	-2.245407	0.829449	9.755376	-0.003293	0.006579	-0.001805	39.979427497	116.338893730	46.886962
41059	36412074	-2.142971	0.886389	9.601313	-0.003247	0.007880	0.000025	39.979427496	116.338893729	46.885575
41060	36412099	-2.031876	0.967298	9.307675	-0.004096	0.009780	0.003968	39.979427495	116.338893729	46.885556
41061	36412124	-2.110788	0.914594	9.425840	-0.004135	0.007452	0.001208	39.979427495	116.338893728	46.885535
41062	36412149	-2.239821	0.895441	9.770235	0.000288	0.007419	0.003304	39.979427494	116.338893727	46.885516
41063	36412174	-2.048996	1.059784	9.600620	-0.001848	0.006248	0.004746	39.979427493	116.338893726	46.885501
41064	36412199	-1.935203	1.074773	9.276149	-0.007035	0.010002	0.001507	39.979427493	116.338893725	46.885481
41065	36412224	-2.117588	0.905144	9.380579	-0.001271	0.018744	0.003353	39.979427492	116.338893725	46.885460
41066	36412249	-2.261643	0.910918	9.674490	0.003152	0.011064	-0.001629	39.979427491	116.338893724	46.885440
41067	36412274	-2.120573	1.009163	9.537891	-0.002787	0.009032	0.004728	39.979427490	116.338893723	46.885566
41068	36412299	-2.074960	0.990095	9.466014	-0.004905	0.012600	0.002395	39.979427490	116.338893722	46.885546
41069	36412324	-2.159528	0.945409	9.648062	0.000441	0.012536	0.003059	39.979427489	116.338893721	46.885526
41070	36412349	-2.121926	0.980303	9.511190	-0.000052	0.013778	0.001426	39.979427488	116.338893721	46.885507
41071	36412374	-2.058143	1.004293	9.364969	-0.008781	0.011159	-0.000963	39.979427488	116.338893720	46.885485
