PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw	Latitude	Longitude	Altitude
18349	21398974	9.087963	-1.154606	3.017735	-0.074461	-0.042018	0.034930	-28.841803	-71.166591	-60.438224	39.979033908	116.338898485	49.278508
18350	21398999	9.075419	-1.174056	3.057593	-0.084759	-0.034776	0.031325	-28.872325	-71.169598	-60.418860	39.979033911	116.338898493	49.278325
18351	21399024	9.072634	-1.190572	3.065482	-0.089981	-0.042558	0.035751	-28.906810	-71.173271	-60.396098	39.979033915	116.338898501	49.278141
18352	21399049	9.068428	-1.198894	3.085428	-0.098857	-0.042678	0.035304	-28.942438	-71.176986	-60.373473	39.979033919	116.338898509	49.277956
18353	21399074	9.046369	-1.208558	3.085370	-0.113203	-0.045902	0.034876	-28.980631	-71.181129	-60.350308	39.979033922	116.338898517	49.280107
18354	21399099	9.068324	-1.219662	3.118598	-0.118612	-0.047188	0.037162	-29.020716	-71.185270	-60.325966	39.979033926	116.338898525	49.279922
18355	21399124	9.065533	-1.230700	3.125196	-0.117546	-0.045106	0.032708	-29.058599	-71.189455	-60.303788	39.979033929	116.338898533	49.279736
18356	21399149	9.069596	-1.262382	3.138387	-0.120465	-0.054759	0.035331	-29.099851	-71.194660	-60.278494	39.979033933	116.338898541	49.279550
18357	21399174	9.043357	-1.273466	3.155647	-0.121602	-0.056323	0.032492	-29.140562	-71.200253	-60.253944	39.979033937	116.338898549	49.279362
18358	21399199	9.074980	-1.324391	3.152827	-0.116764	-0.062509	0.030340	-29.181077	-71.206765	-60.228870	39.979033941	116.338898558	49.279174
18359	21399224	9.052919	-1.333974	3.152778	-0.115506	-0.061275	0.024378	-29.218989	-71.213533	-60.206356	39.979033944	116.338898566	49.278985
18360	21399249	9.080398	-1.357485	3.164693	-0.105675	-0.064904	0.032064	-29.259086	-71.220212	-60.180048	39.979033948	116.338898574	49.278795
18361	21399274	9.099703	-1.368463	3.156691	-0.106131	-0.059536	0.026590	-29.296155	-71.226598	-60.157011	39.979033952	116.338898582	49.273884
18362	21399299	9.113450	-1.393186	3.155307	-0.095794	-0.063497	0.033715	-29.335197	-71.232974	-60.130323	39.979033956	116.338898590	49.273688
18363	21399324	9.095618	-1.383460	3.126069	-0.090823	-0.060487	0.028093	-29.370861	-71.239364	-60.106453	39.979033959	116.338898598	49.273491
18364	21399349	9.113437	-1.406964	3.151250	-0.085539	-0.064732	0.036560	-29.409779	-71.245683	-60.078348	39.979033963	116.338898607	49.273295
18365	21399374	9.079009	-1.419275	3.135238	-0.082649	-0.062360	0.030673	-29.445650	-71.252115	-60.053025	39.979033967	116.338898615	49.273097
18366	21399399	9.102418	-1.424769	3.133919	-0.076352	-0.063311	0.031100	-29.480994	-71.258630	-60.027307	39.979033971	116.338898623	49.272899
18367	21399424	9.090114	-1.393042	3.115387	-0.073257	-0.059478	0.037155	-29.517343	-71.264235	-60.000060	39.979033975	116.338898631	49.272700
18368	21399449	9.101071	-1.413751	3.131276	-0.066330	-0.060965	0.035891	-29.552563	-71.270110	-59.972957	39.979033979	116.338898639	49.272501
18369	21399474	9.099601	-1.449619	3.149776	-0.064848	-0.062692	0.035024	-29.587633	-71.276255	-59.945792	39.979033983	116.338898648	49.271276
