PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw	Latitude	Longitude	Altitude
61795	19251274	9.446204	-2.018075	1.992704	0.017753	0.026116	0.002608	-49.960631	-73.684464	-39.591346	39.979034728	116.338885807	51.101358
61796	19251299	9.458559	-2.023631	2.005974	0.021271	0.027469	0.008477	-49.950680	-73.681792	-39.598580	39.979034729	116.338885810	51.101194
61797	19251324	9.443556	-1.989066	1.968861	0.021179	0.030376	0.003886	-49.938212	-73.679354	-39.608452	39.979034730	116.338885813	51.101032
61798	19251349	9.411853	-2.019302	1.956746	0.023890	0.039192	0.004779	-49.922340	-73.676005	-39.621465	39.979034732	116.338885816	51.100869
61799	19251374	9.395333	-2.013749	1.948803	0.022551	0.040770	0.000116	-49.904607	-73.673021	-39.636617	39.979034733	116.338885819	51.100705
61800	19251399	9.432575	-2.005494	1.936876	0.028320	0.039890	0.005318	-49.888021	-73.669546	-39.649713	39.979034735	116.338885822	51.100543
61801	19251424	9.411912	-2.002715	1.936860	0.022198	0.046010	-0.001086	-49.868014	-73.666207	-39.667289	39.979034736	116.338885825	51.100380
61802	19251449	9.400905	-2.010896	1.923539	0.026931	0.044058	0.000148	-49.848454	-73.662911	-39.683692	39.979034737	116.338885828	51.100218
61803	19251474	9.385763	-2.023228	1.914192	0.022008	0.046144	-0.000459	-49.828636	-73.659487	-39.701099	39.979034739	116.338885831	51.102400
61804	19251499	9.371940	-2.024704	1.930110	0.021628	0.048633	-0.003228	-49.807080	-73.656135	-39.720375	39.979034740	116.338885834	51.102239
61805	19251524	9.381645	-2.038350	1.896832	0.016731	0.047493	0.000504	-49.787834	-73.652477	-39.737974	39.979034742	116.338885837	51.102079
61806	19251549	9.353962	-2.068720	1.929957	0.017837	0.049062	-0.000560	-49.767519	-73.648790	-39.756524	39.979034743	116.338885840	51.101918
61807	19251574	9.378826	-2.067267	1.907375	0.015742	0.043021	0.002132	-49.750611	-73.645365	-39.771834	39.979034745	116.338885843	51.101757
61808	19251599	9.385632	-2.100345	1.921875	0.018522	0.045168	-0.002119	-49.731172	-73.642204	-39.789369	39.979034746	116.338885846	51.101597
61809	19251624	9.392502	-2.088023	1.935227	0.011379	0.044812	-0.001109	-49.713214	-73.638965	-39.806427	39.979034748	116.338885849	51.101436
61810	19251649	9.411748	-2.110082	1.937852	0.012347	0.044124	-0.000530	-49.695562	-73.635725	-39.823020	39.979034749	116.338885852	51.101275
61811	19251674	9.418648	-2.115562	1.935131	0.017862	0.046676	0.004852	-49.677877	-73.631659	-39.838826	39.979034751	116.338885855	51.100822
61812	19251699	9.392422	-2.123843	1.944445	0.017245	0.042640	0.005977	-49.662144	-73.627843	-39.852690	39.979034752	116.338885858	51.100662
61813	19251724	9.406151	-2.139009	1.959011	0.014248	0.041102	0.008656	-49.648264	-73.623876	-39.865070	39.979034754	116.338885861	51.100501
61814	19251749	9.411678	-2.125250	1.959088	0.014073	0.043689	0.007901	-49.633216	-73.619751	-39.878693	39.979034755	116.338885864	51.100342
61815	19251774	9.396450	-2.125395	1.985667	0.017865	0.045033	0.001332	-49.615060	-73.616216	-39.894990	39.979034757	116.338885867	51.100182
61816	19251799	9.408827	-2.137783	1.989610	0.022285	0.038569	0.001371	-49.598689	-73.613276	-39.908768	39.979034759	116.338885870	51.100023
61817	19251824	9.415763	-2.111636	1.993681	0.027156	0.040109	0.003044	-49.581582	-73.610010	-39.922585	39.979034760	116.338885873	51.099863
61818	19251849	9.399162	-2.152942	1.992193	0.020371	0.038737	0.000101	-49.565033	-73.607190	-39.936835	39.979034762	116.338885876	51.099705
61819	19251874	9.397846	-2.119867	1.985663	0.023991	0.031605	0.001895	-49.551178	-73.604837	-39.947734	39.979034763	116.338885879	51.102798
61820	19251899	9.366173	-2.108847	1.987033	0.026286	0.036795	0.005990	-49.536370	-73.601554	-39.959285	39.979034765	116.338885882	51.102643
61821	19251924	9.361939	-2.115854	2.017600	0.026834	0.037794	0.004987	-49.520803	-73.598287	-39.971547	39.979034767	116.338885885	51.102487
61822	19251949	9.382599	-2.103523	2.034899	0.027522	0.037251	0.002672	-49.504611	-73.595321	-39.984356	39.979034768	116.338885888	51.102332
61823	19251974	9.368876	-2.067760	2.024403	0.026403	0.029548	0.004491	-49.492010	-73.592873	-39.993591	39.979034770	116.338885891	51.102176
