PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw	Latitude	Longitude	Altitude
41301	20355274	9.376312	-0.854650	2.537924	0.032084	0.028132	-0.000265	-21.661104	-74.628071	118.152588	39.979542860	116.338914470	50.322420
41302	20355299	9.384558	-0.868431	2.541888	0.025341	0.029151	-0.000508	-21.650963	-74.625001	118.145794	39.979542856	116.338914473	50.322224
41303	20355324	9.385922	-0.864303	2.544574	0.019754	0.029536	-0.000741	-21.641439	-74.621892	118.138810	39.979542852	116.338914477	50.322028
41304	20355349	9.387294	-0.850592	2.559245	0.010741	0.030579	0.000255	-21.633492	-74.618591	118.132122	39.979542848	116.338914480	50.321832
41305	20355374	9.379076	-0.842291	2.547280	0.004204	0.028929	0.003663	-21.628449	-74.615329	118.127475	39.979542844	116.338914484	50.321635
41306	20355399	9.380423	-0.846439	2.555280	-0.002782	0.027664	0.007313	-21.626418	-74.612043	118.124914	39.979542839	116.338914487	50.321438
41307	20355424	9.395534	-0.857497	2.565872	-0.012831	0.026964	0.002147	-21.623463	-74.609123	118.119900	39.979542835	116.338914491	50.321241
41308	20355449	9.394201	-0.864309	2.547236	-0.020723	0.025865	0.004032	-21.622761	-74.606249	118.116053	39.979542831	116.338914494	50.321044
41309	20355474	9.388621	-0.891842	2.551140	-0.021093	0.029555	0.005095	-21.621920	-74.602829	118.112005	39.979542827	116.338914498	50.318456
41310	20355499	9.388585	-0.896048	2.565759	-0.022493	0.029549	0.004455	-21.620973	-74.599442	118.107639	39.979542822	116.338914501	50.318256
41311	20355524	9.392686	-0.908442	2.575015	-0.026363	0.033413	0.004108	-21.619673	-74.595560	118.102333	39.979542818	116.338914504	50.318055
41312	20355549	9.373385	-0.922163	2.564323	-0.028706	0.033839	-0.001067	-21.616128	-74.591894	118.094350	39.979542814	116.338914508	50.317855
41313	20355574	9.384452	-0.923506	2.549679	-0.026460	0.033683	0.001216	-21.613398	-74.588128	118.087544	39.979542810	116.338914511	50.317654
41314	20355599	9.380320	-0.927600	2.547026	-0.022148	0.030203	0.001881	-21.611038	-74.584790	118.081764	39.979542805	116.338914515	50.317453
41315	20355624	9.381672	-0.938621	2.552312	-0.023045	0.034253	0.001620	-21.607908	-74.580927	118.075052	39.979542801	116.338914518	50.317252
41316	20355649	9.372062	-0.946816	2.532315	-0.016496	0.033173	0.001797	-21.604135	-74.577198	118.068645	39.979542797	116.338914521	50.317050
41317	20355674	9.376184	-0.939969	2.537671	-0.015371	0.029269	-0.000766	-21.599712	-74.574124	118.061732	39.979542792	116.338914525	50.312320
41318	20355699	9.373441	-0.952288	2.526983	-0.013091	0.029995	-0.006403	-21.592106	-74.571250	118.051855	39.979542788	116.338914528	50.312113
41319	20355724	9.377674	-0.939775	2.493775	-0.013502	0.026792	-0.008602	-21.584112	-74.568919	118.041514	39.979542784	116.338914532	50.311906
41320	20355749	9.370719	-0.972834	2.497657	-0.011069	0.020666	-0.003241	-21.579528	-74.567120	118.035073	39.979542779	116.338914535	50.311699
41321	20355774	9.374992	-0.957531	2.451174	-0.002612	0.020507	-0.000657	-21.575010	-74.565207	118.029957	39.979542775	116.338914538	50.311491
41324	20355799	9.355632	-0.997438	2.458984	-0.000574	0.026563	-0.001533	-21.568625	-74.562533	118.023206	39.979542771	116.338914542	50.311282
41325	20355824	9.366704	-0.978152	2.447097	0.013649	0.022905	0.000346	-21.561809	-74.560247	118.018121	39.979542766	116.338914545	50.311073
41326	20355849	9.361180	-0.991913	2.447029	0.016922	0.024898	-0.005598	-21.551278	-74.558008	118.009670	39.979542762	116.338914549	50.310864
41327	20355874	9.347485	-0.964276	2.425849	0.030388	0.023884	-0.004549	-21.543180	-74.551877	117.993619	39.979543055	116.338914420	50.330928
41328	20355899	9.350207	-0.967100	2.439145	0.030556	0.022125	-0.003542	-21.532223	-74.549899	117.986751	39.979543051	116.338914423	50.330772
41329	20355924	9.341933	-0.984976	2.436401	0.033264	0.021160	-0.000191	-21.522680	-74.547873	117.981752	39.979543047	116.338914426	50.330616
41330	20355949	9.366790	-0.967017	2.423179	0.039977	0.019303	0.002946	-21.514043	-74.545929	117.978690	39.979543043	116.338914429	50.330459
41331	20355974	9.341916	-0.968529	2.451092	0.039984	0.019307	0.003445	-21.505645	-74.543958	117.975878	39.979543039	116.338914433	50.330302
41332	20355999	9.347337	-0.968662	2.489673	0.031827	0.018051	0.003131	-21.498504	-74.542171	117.973158	39.979543035	116.338914436	50.330144
41333	20356024	9.347306	-0.959088	2.505646	0.034323	0.010085	0.004727	-21.493287	-74.541362	117.972805	39.979543031	116.338914439	50.329985
41334	20356049	9.341771	-0.949507	2.521663	0.022881	0.006291	0.008094	-21.492053	-74.540882	117.974883	39.979543027	116.338914442	50.329826
41335	20356074	9.341704	-0.953738	2.549568	0.027220	0.002605	0.003672	-21.488766	-74.541125	117.975476	39.979543022	116.338914445	50.333312
41336	20356099	9.354034	-0.936010	2.588195	0.025423	-0.000471	0.009249	-21.489007	-74.541485	117.979463	39.979543018	116.338914449	50.333156
41337	20356124	9.348441	-0.934766	2.617450	0.028178	-0.006770	0.007708	-21.489307	-74.542766	117.983920	39.979543014	116.338914452	50.332999
41338	20356149	9.355300	-0.938942	2.628080	0.033805	-0.012195	0.009643	-21.490763	-74.544669	117.990413	39.979543010	116.338914455	50.332842
41339	20356174	9.375948	-0.930695	2.642766	0.035125	-0.019498	0.008717	-21.492971	-74.547593	117.997882	39.979543006	116.338914458	50.332686
41340	20356199	9.409058	-0.897682	2.645541	0.040613	-0.020032	0.011402	-21.495791	-74.550447	118.006802	39.979543002	116.338914462	50.332529
41341	20356224	9.393860	-0.934825	2.641419	0.045981	-0.021055	0.007172	-21.495999	-74.553660	118.013809	39.979542997	116.338914465	50.332372
41342	20356249	9.429716	-0.921081	2.640156	0.038344	-0.026153	0.008562	-21.498941	-74.557479	118.022519	39.979542993	116.338914468	50.332215
41343	20356274	9.415917	-0.910114	2.652167	0.027260	-0.022511	0.009602	-21.503284	-74.560758	118.031033	39.979542989	116.338914471	50.338823
41344	20356299	9.400706	-0.928029	2.661418	0.026745	-0.022459	0.008842	-21.507327	-74.564070	118.039160	39.979542985	116.338914474	50.338673
41345	20356324	9.418758	-0.882522	2.630987	0.018241	-0.023325	0.013489	-21.514998	-74.567253	118.049787	39.979542980	116.338914478	50.338523
41346	20356349	9.402230	-0.856434	2.644367	0.014153	-0.022529	0.011447	-21.522121	-74.570437	118.059238	39.979542976	116.338914481	50.338373
41347	20356374	9.369174	-0.855009	2.640343	0.005679	-0.025417	0.008553	-21.529615	-74.574157	118.067814	39.979542972	116.338914484	50.338222
41348	20356399	9.353972	-0.846861	2.657674	0.001186	-0.023708	0.012408	-21.539292	-74.577447	118.077987	39.979542968	116.338914487	50.338072
41349	20356424	9.325071	-0.838551	2.652344	-0.007357	-0.019534	0.015040	-21.550671	-74.580041	118.088657	39.979542963	116.338914490	50.337921
41350	20356449	9.320948	-0.867353	2.628305	-0.007835	-0.023131	0.011961	-21.561323	-74.583277	118.098501	39.979542959	116.338914494	50.337770
41351	20356474	9.323680	-0.907215	2.616218	-0.016862	-0.018504	0.011320	-21.572079	-74.585929	118.107111	39.979542955	116.338914497	50.340017
41352	20356499	9.322282	-0.920980	2.616176	-0.019981	-0.022331	0.009602	-21.583186	-74.589181	118.115621	39.979542950	116.338914500	50.339868
41353	20356524	9.296062	-0.967726	2.606671	-0.024104	-0.027303	0.007375	-21.594762	-74.593212	118.124006	39.979542946	116.338914503	50.339717
41354	20356549	9.289210	-0.978617	2.580055	-0.021045	-0.027339	0.009409	-21.606895	-74.597140	118.133423	39.979542941	116.338914506	50.339566
41355	20356574	9.272663	-1.003370	2.571983	-0.022034	-0.026299	0.007011	-21.617817	-74.601056	118.141437	39.979542937	116.338914509	50.339413
41356	20356599	9.268550	-1.026688	2.553270	-0.019342	-0.029917	0.010929	-21.630946	-74.605247	118.152139	39.979542933	116.338914513	50.339261
41357	20356624	9.286473	-1.051396	2.527939	-0.013845	-0.032446	0.011666	-21.644136	-74.609734	118.163722	39.979542928	116.338914516	50.339107
41358	20356649	9.285123	-1.048602	2.523935	0.000358	-0.029787	0.016618	-21.657183	-74.613605	118.177266	39.979542924	116.338914519	50.338953
41359	20356674	9.293458	-1.041606	2.498721	0.014642	-0.033036	0.012897	-21.667015	-74.618105	118.189596	39.979542919	116.338914522	50.339048
41360	20356699	9.298993	-1.036103	2.493414	0.034393	-0.030227	0.007838	-21.671035	-74.622497	118.198834	39.979542915	116.338914526	50.338892
41361	20356724	9.325220	-1.003067	2.494869	0.049235	-0.032078	0.011976	-21.675292	-74.626918	118.210521	39.979542911	116.338914529	50.338736
41362	20356749	9.322479	-0.993476	2.494883	0.066279	-0.035730	0.010857	-21.677273	-74.631883	118.222380	39.979542906	116.338914532	50.338579
41363	20356774	9.339035	-0.978319	2.494973	0.081578	-0.042216	0.014503	-21.680082	-74.637518	118.237371	39.979542902	116.338914535	50.338422
41364	20356799	9.365276	-0.926056	2.501787	0.078623	-0.039214	0.015610	-21.683280	-74.642696	118.252324	39.979542897	116.338914538	50.338264
41365	20356824	9.354283	-0.879329	2.516579	0.087357	-0.040901	0.017877	-21.686657	-74.647977	118.268761	39.979542893	116.338914542	50.338106
41366	20356849	9.395597	-0.880725	2.527238	0.088470	-0.038145	0.019771	-21.690267	-74.652791	118.285605	39.979542888	116.338914545	50.337947
41367	20356874	9.388773	-0.835349	2.526050	0.088854	-0.040495	0.015442	-21.692183	-74.658147	118.300748	39.979542884	116.338914548	50.341261
41368	20356899	9.384556	-0.838202	2.556630	0.079550	-0.042500	0.020142	-21.698106	-74.663521	118.318663	39.979542879	116.338914551	50.341106
41369	20356924	9.392793	-0.808047	2.587311	0.069034	-0.044639	0.024021	-21.707840	-74.668973	118.338968	39.979542875	116.338914555	50.340950
41370	20356949	9.396860	-0.819152	2.611207	0.056581	-0.043106	0.023796	-21.718963	-74.674232	118.358864	39.979542870	116.338914558	50.340793
41371	20356974	9.380236	-0.801421	2.653832	0.034957	-0.049652	0.024697	-21.734900	-74.680313	118.380539	39.979542866	116.338914561	50.340637
41372	20356999	9.387126	-0.782187	2.665878	0.021592	-0.046985	0.024025	-21.751923	-74.686074	118.401354	39.979542861	116.338914564	50.340481
41373	20357024	9.403588	-0.783660	2.695132	0.008944	-0.048344	0.025059	-21.771539	-74.691958	118.422978	39.979542857	116.338914567	50.340324
41374	20357049	9.415856	-0.816826	2.725640	0.000571	-0.047366	0.026371	-21.792817	-74.697641	118.445082	39.979542852	116.338914571	50.340168
41375	20357074	9.432282	-0.854068	2.753457	0.001316	-0.046401	0.018966	-21.810217	-74.703587	118.463275	39.979542848	116.338914574	50.333822
41376	20357099	9.433531	-0.883088	2.783949	-0.002444	-0.047755	0.021325	-21.829580	-74.709587	118.482945	39.979542843	116.338914577	50.333660
41377	20357124	9.433435	-0.916220	2.807778	0.011301	-0.043543	0.020175	-21.845608	-74.715085	118.501197	39.979542838	116.338914580	50.333499
41378	20357149	9.437509	-0.946486	2.814312	0.017853	-0.044623	0.020476	-21.861067	-74.720710	118.519832	39.979542834	116.338914583	50.333338
41379	20357174	9.441628	-0.956152	2.814291	0.023228	-0.049964	0.015815	-21.874543	-74.727293	118.537209	39.979542829	116.338914586	50.333178
41380	20357199	9.448563	-0.942317	2.801065	0.027098	-0.050743	0.014839	-21.887155	-74.734030	118.554265	39.979542824	116.338914590	50.333018
41381	20357224	9.459683	-0.932615	2.777131	0.031182	-0.053374	0.013116	-21.898871	-74.741208	118.570998	39.979542820	116.338914593	50.332859
41382	20357249	9.451539	-0.904940	2.734684	0.032145	-0.051117	0.011675	-21.909318	-74.748162	118.586558	39.979542815	116.338914596	50.332700
41383	20357274	9.455838	-0.888223	2.681520	0.025362	-0.053595	0.014766	-21.922742	-74.755279	118.604195	39.979542810	116.338914599	50.329741
41384	20357299	9.458805	-0.852205	2.615161	0.025916	-0.051123	0.010873	-21.933717	-74.762275	118.619376	39.979542805	116.338914602	50.329581
41385	20357324	9.435489	-0.861663	2.567228	0.016227	-0.051340	0.012554	-21.946954	-74.769209	118.635464	39.979542801	116.338914605	50.329420
41386	20357349	9.453507	-0.853206	2.530035	0.020958	-0.054088	0.019316	-21.963369	-74.776145	118.655546	39.979542796	116.338914608	50.329260
41387	20357374	9.441195	-0.853113	2.487483	0.010003	-0.047667	0.012000	-21.976532	-74.782618	118.670631	39.979542791	116.338914612	50.329099
41388	20357399	9.444135	-0.834960	2.427660	0.006679	-0.044167	0.008832	-21.987946	-74.788796	118.683408	39.979542786	116.338914615	50.328939
41389	20357424	9.404261	-0.834831	2.390414	0.005047	-0.041565	0.009066	-21.999203	-74.794615	118.695782	39.979542781	116.338914618	50.328778
41390	20357449	9.384955	-0.856802	2.383665	0.004676	-0.043324	0.014150	-22.013355	-74.800394	118.711100	39.979542777	116.338914621	50.328617
41391	20357474	9.378112	-0.882823	2.351670	0.005983	-0.035301	0.012711	-22.025041	-74.805184	118.724056	39.979542772	116.338914624	50.327901
