PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
61012	3147365	9.560592	-0.912089	1.437954	-0.022921	-0.065301	-0.002883	-25.713992	-80.209212	163.697968
61013	3147390	9.534513	-0.922944	1.399338	-0.021584	-0.072971	-0.002486	-25.740938	-80.219626	163.722167
61014	3147415	9.536020	-0.907612	1.352923	-0.023666	-0.074388	-0.002824	-25.768430	-80.230284	163.746627
61015	3147440	9.537466	-0.892425	1.334382	-0.027239	-0.075896	-0.005764	-25.794899	-80.241276	163.769518
61016	3147465	9.560948	-0.885468	1.314479	-0.026850	-0.079790	-0.005250	-25.823168	-80.252737	163.794291
61017	3147490	9.548604	-0.873030	1.298563	-0.022897	-0.085410	-0.008576	-25.850479	-80.265128	163.818667
61018	3147515	9.503195	-0.844138	1.298657	-0.019373	-0.087835	-0.003727	-25.881823	-80.277567	163.847641
61019	3147540	9.548709	-0.839937	1.274735	-0.016846	-0.089866	-0.002751	-25.914420	-80.290163	163.878256
61020	3147565	9.577696	-0.846718	1.245531	-0.020343	-0.091556	-0.004806	-25.946670	-80.303103	163.908011
61021	3147590	9.581924	-0.783438	1.243108	-0.018069	-0.088173	-0.000796	-25.980459	-80.315352	163.939656
61022	3147615	9.551591	-0.765634	1.272342	-0.015204	-0.088373	-0.009020	-26.007729	-80.328183	163.965086
61023	3147640	9.562597	-0.754676	1.277723	-0.021745	-0.091828	-0.006087	-26.039554	-80.341230	163.994202
61024	3147665	9.548850	-0.745033	1.275080	-0.024022	-0.090015	-0.000335	-26.075469	-80.353679	164.027135
61025	3147690	9.570958	-0.721591	1.261867	-0.023584	-0.088286	-0.012636	-26.101448	-80.366677	164.050051
61027	3147715	9.609495	-0.720280	1.269902	-0.031050	-0.084923	-0.007114	-26.131451	-80.378936	164.075940
61029	3147740	9.632896	-0.724421	1.272523	-0.036938	-0.087872	-0.008045	-26.162811	-80.391587	164.102373
61030	3147765	9.599908	-0.680404	1.270015	-0.050986	-0.082752	-0.008796	-26.193775	-80.403625	164.126362
61031	3147790	9.646714	-0.696890	1.268669	-0.053237	-0.083518	-0.005132	-26.228206	-80.415528	164.153540
61032	3147815	9.610847	-0.720314	1.281819	-0.052293	-0.080165	-0.007159	-26.259728	-80.427169	164.177873
61033	3147840	9.678158	-0.726082	1.345641	-0.056694	-0.082877	-0.013593	-26.288111	-80.439521	164.198413
61034	3147865	9.712450	-0.724915	1.401455	-0.060885	-0.083768	-0.013877	-26.317277	-80.452003	164.219137
61035	3147890	9.708268	-0.712670	1.430720	-0.064506	-0.089101	-0.015806	-26.347571	-80.465291	164.240479
61036	3147915	9.672371	-0.685345	1.485243	-0.069903	-0.093964	-0.016288	-26.380139	-80.479275	164.263311
61037	3147940	9.647509	-0.675825	1.517171	-0.076562	-0.101845	-0.013734	-26.418745	-80.494062	164.291327
61038	3147965	9.610421	-0.637283	1.503969	-0.077158	-0.109974	-0.009930	-26.463560	-80.509646	164.325552
61039	3147990	9.617160	-0.663544	1.546424	-0.090505	-0.118737	-0.015420	-26.509559	-80.526699	164.359037
61040	3148015	9.619875	-0.669107	1.555723	-0.096790	-0.123116	-0.013879	-26.559422	-80.544253	164.395499
61041	3148040	9.621125	-0.729677	1.574131	-0.104693	-0.125226	-0.010450	-26.614081	-80.561809	164.435700
61042	3148065	9.604554	-0.761306	1.575334	-0.110522	-0.132145	-0.019626	-26.665353	-80.580834	164.471618
61043	3148090	9.608722	-0.758489	1.559394	-0.109969	-0.135747	-0.029068	-26.710825	-80.600923	164.501735
61044	3148115	9.608796	-0.735076	1.540920	-0.111884	-0.137611	-0.025719	-26.760003	-80.621073	164.535308
61045	3148140	9.610192	-0.756969	1.520875	-0.115764	-0.135526	-0.027592	-26.807694	-80.641029	164.566830
61046	3148165	9.600542	-0.763879	1.527501	-0.119281	-0.134946	-0.027622	-26.855808	-80.660910	164.598268
61047	3148190	9.605996	-0.784531	1.530134	-0.119662	-0.131239	-0.027755	-26.902578	-80.680321	164.628287
61048	3148215	9.618353	-0.792825	1.542068	-0.121468	-0.123334	-0.029425	-26.945282	-80.698869	164.653903
61049	3148240	9.623872	-0.801053	1.538019	-0.120738	-0.112487	-0.027016	-26.985637	-80.715830	164.677262
61050	3148265	9.630727	-0.821677	1.537950	-0.123306	-0.115170	-0.026843	-27.027681	-80.733120	164.701959
61051	3148290	9.622501	-0.851799	1.500675	-0.128773	-0.105777	-0.035839	-27.059830	-80.749796	164.715836
61052	3148315	9.572950	-0.831178	1.503354	-0.137070	-0.096726	-0.034265	-27.090807	-80.765254	164.727300
61053	3148340	9.584029	-0.787185	1.503487	-0.139025	-0.086950	-0.034921	-27.117737	-80.779466	164.734400
61054	3148365	9.577099	-0.794100	1.515449	-0.153954	-0.076772	-0.031434	-27.145499	-80.792152	164.740177
61055	3148390	9.582527	-0.845004	1.521915	-0.152180	-0.073217	-0.033072	-27.170327	-80.804492	164.743239
61056	3148415	9.545179	-0.917986	1.538935	-0.150229	-0.068715	-0.026973	-27.197851	-80.815899	164.749294
61057	3148440	9.542434	-0.945406	1.521547	-0.149128	-0.061056	-0.031918	-27.218297	-80.826614	164.748359
61058	3148465	9.525953	-0.968651	1.490918	-0.158456	-0.054206	-0.028001	-27.240413	-80.836200	164.747762
61059	3148490	9.527334	-0.942593	1.505614	-0.149275	-0.051700	-0.030661	-27.258113	-80.845640	164.744025
61060	3148515	9.492892	-0.934360	1.516227	-0.146152	-0.051117	-0.029621	-27.275924	-80.854978	164.740826
61061	3148540	9.496970	-0.926232	1.544161	-0.143541	-0.056167	-0.025411	-27.298811	-80.864643	164.743175
61062	3148565	9.484625	-0.931612	1.517574	-0.141971	-0.060640	-0.028947	-27.320529	-80.875110	164.744566
61063	3148590	9.468114	-0.916497	1.518938	-0.131311	-0.061028	-0.028291	-27.341423	-80.885583	164.746671
61064	3148615	9.487445	-0.947999	1.482966	-0.139254	-0.062810	-0.028417	-27.364078	-80.896328	164.749374
61065	3148640	9.499977	-0.939557	1.431198	-0.147916	-0.062050	-0.025566	-27.389994	-80.906752	164.754155
61066	3148665	9.447713	-0.907878	1.420658	-0.151825	-0.056610	-0.017422	-27.420738	-80.915946	164.763259
61067	3148690	9.399513	-0.920221	1.412627	-0.153758	-0.055739	-0.010717	-27.456776	-80.924586	164.777443
61068	3148715	9.406399	-0.949024	1.396534	-0.153102	-0.054243	-0.005132	-27.496566	-80.932702	164.795480
61069	3148740	9.432622	-0.951670	1.373989	-0.155215	-0.054082	0.001007	-27.541563	-80.940352	164.818525
61070	3148765	9.443698	-0.906315	1.371496	-0.154863	-0.049888	-0.001091	-27.583149	-80.947606	164.838166
61071	3148790	9.494726	-0.903501	1.350267	-0.156265	-0.043799	0.003530	-27.626130	-80.953778	164.859015
61072	3148815	9.494841	-0.875877	1.319796	-0.151528	-0.043771	0.005913	-27.670341	-80.959822	164.881747
61073	3148840	9.529410	-0.850929	1.276087	-0.152092	-0.033019	0.006217	-27.710440	-80.964443	164.900283
61074	3148865	9.569372	-0.841310	1.272142	-0.159913	-0.025292	0.008817	-27.750522	-80.967909	164.917668
61075	3148890	9.606624	-0.764358	1.291016	-0.154316	-0.014731	0.005557	-27.782788	-80.970253	164.927949
61076	3148915	9.656177	-0.734238	1.320348	-0.157249	-0.009970	0.006990	-27.814607	-80.971933	164.937297
61077	3148940	9.686456	-0.720546	1.332388	-0.157793	-0.007130	0.008571	-27.846595	-80.973110	164.946793
61078	3148965	9.709845	-0.721937	1.341690	-0.157739	-0.002912	0.008124	-27.876447	-80.973782	164.954134
61079	3148990	9.690546	-0.709607	1.357654	-0.168194	-0.003171	0.007090	-27.907084	-80.974556	164.960753
61080	3149015	9.672616	-0.697299	1.374964	-0.165866	-0.008868	-0.000754	-27.933527	-80.976612	164.963409
61081	3149040	9.631472	-0.661361	1.329875	-0.159939	-0.007796	-0.005275	-27.955090	-80.978800	164.962038
61082	3149065	9.630103	-0.609176	1.355306	-0.166108	-0.003059	-0.009641	-27.972058	-80.980682	164.955118
61083	3149090	9.598425	-0.589998	1.367307	-0.168873	-0.005019	-0.016448	-27.984827	-80.983270	164.943547
61084	3149115	9.576354	-0.620217	1.363212	-0.166093	-0.002693	-0.014591	-27.997670	-80.985475	164.932405
61085	3149140	9.616295	-0.616150	1.368545	-0.171937	-0.008461	-0.016151	-28.012575	-80.988479	164.922552
61086	3149165	9.609284	-0.645101	1.398998	-0.166188	-0.011685	-0.021243	-28.023965	-80.992233	164.909975
61087	3149190	9.638172	-0.676736	1.394939	-0.168745	-0.015861	-0.022715	-28.036319	-80.996615	164.898003
61088	3149215	9.528183	-0.651755	1.335162	-0.164200	-0.020792	-0.022301	-28.050424	-81.001629	164.888417
61089	3149240	9.508815	-0.673802	1.353688	-0.160585	-0.024617	-0.017260	-28.069694	-81.006751	164.884630
61090	3149265	9.510127	-0.699987	1.364220	-0.157182	-0.025447	-0.008862	-28.095548	-81.011412	164.888003
61091	3149290	9.519727	-0.739848	1.354802	-0.168326	-0.030431	-0.009513	-28.124621	-81.016746	164.893019
61092	3149315	9.533385	-0.782575	1.379902	-0.178792	-0.030245	-0.010738	-28.154130	-81.022175	164.896914
61093	3149340	9.576135	-0.764631	1.366705	-0.196061	-0.036620	-0.015119	-28.185386	-81.028670	164.900117
61094	3149365	9.578855	-0.757836	1.386662	-0.202104	-0.033675	-0.015420	-28.216027	-81.034812	164.901823
61095	3149390	9.573455	-0.731586	1.357511	-0.207859	-0.039122	-0.020599	-28.245710	-81.041993	164.901723
61096	3149415	9.605160	-0.700008	1.360295	-0.221995	-0.043587	-0.013156	-28.285302	-81.049267	164.909561
61097	3149440	9.594131	-0.739831	1.345545	-0.235184	-0.043489	-0.012058	-28.327685	-81.056419	164.918356
61098	3149465	9.567923	-0.781030	1.336085	-0.253977	-0.051124	-0.010996	-28.376957	-81.064459	164.931399
61099	3149490	9.595438	-0.852451	1.306645	-0.269988	-0.046285	-0.009665	-28.427547	-81.071797	164.943454
61100	3149515	9.593969	-0.892381	1.317144	-0.283781	-0.048108	-0.008823	-28.481612	-81.079341	164.956978
61101	3149540	9.574764	-0.885383	1.289244	-0.302187	-0.043687	-0.005546	-28.539094	-81.086067	164.971341
61102	3149565	9.555534	-0.897704	1.265265	-0.319751	-0.043200	-0.000548	-28.602945	-81.092388	164.989604
61103	3149590	9.574805	-0.888086	1.277283	-0.322202	-0.041097	0.006844	-28.672216	-81.097933	165.012997
61104	3149615	9.530783	-0.872928	1.261358	-0.331061	-0.040837	0.014701	-28.748990	-81.102934	165.042642
61105	3149640	9.504571	-0.899059	1.271882	-0.355153	-0.041024	0.029227	-28.841024	-81.106916	165.084298
61106	3149665	9.547093	-0.958351	1.302268	-0.367537	-0.038932	0.031035	-28.935415	-81.110500	165.126543
61107	3149690	9.617226	-0.979085	1.330163	-0.384577	-0.043060	0.035155	-29.037438	-81.114303	165.174041
61108	3149715	9.636441	-0.969609	1.362066	-0.402489	-0.040340	0.039768	-29.144565	-81.117466	165.224041
61109	3149740	9.648831	-0.960003	1.372729	-0.426167	-0.043769	0.051382	-29.265973	-81.120196	165.285130
61110	3149765	9.636390	-0.969647	1.384627	-0.455405	-0.051308	0.053634	-29.396816	-81.123689	165.351528
61111	3149790	9.639206	-0.947619	1.371469	-0.471967	-0.057891	0.056489	-29.535363	-81.127777	165.423323
61112	3149815	9.604851	-0.943360	1.344881	-0.491874	-0.049773	0.062920	-29.678305	-81.130406	165.496602
61113	3149840	9.632574	-0.904711	1.294519	-0.513697	-0.046211	0.067694	-29.826615	-81.132190	165.572227
61114	3149865	9.592711	-0.934752	1.247935	-0.537406	-0.039811	0.074349	-29.980727	-81.132673	165.650287
61115	3149890	9.631240	-0.941651	1.254548	-0.559257	-0.031415	0.077537	-30.136648	-81.131854	165.727009
61116	3149915	9.569430	-0.889250	1.218817	-0.575307	-0.028525	0.077403	-30.293411	-81.130688	165.802172
61117	3149940	9.576514	-0.806612	1.184559	-0.576557	-0.016761	0.080998	-30.447695	-81.127743	165.874730
61118	3149965	9.555900	-0.772249	1.193956	-0.575860	-0.014657	0.084682	-30.603731	-81.124240	165.949165
61119	3149990	9.570987	-0.803904	1.195200	-0.571047	-0.005800	0.090930	-30.759764	-81.119159	166.024293
61120	3150015	9.510397	-0.835452	1.173785	-0.570247	-0.005940	0.094804	-30.918673	-81.113811	166.102359
61121	3150040	9.526811	-0.894605	1.185562	-0.562820	-0.003164	0.097014	-31.076788	-81.107893	166.180791
61122	3150065	9.572339	-0.883532	1.160394	-0.557332	0.003928	0.097372	-31.230880	-81.101046	166.255947
61123	3150090	9.599717	-0.948261	1.189400	-0.552599	0.006399	0.096330	-31.382130	-81.093943	166.328914
61124	3150115	9.598231	-1.028058	1.190458	-0.552403	0.002849	0.090182	-31.530098	-81.087737	166.398486
61125	3150140	9.617380	-1.039206	1.235612	-0.556292	0.000209	0.084576	-31.675359	-81.082214	166.464859
61126	3150165	9.625525	-1.079205	1.259401	-0.553204	-0.001256	0.084916	-31.821016	-81.076817	166.532080
61127	3150190	9.680524	-1.113634	1.277914	-0.553326	-0.008105	0.072110	-31.959952	-81.073196	166.592482
61129	3150215	9.684554	-1.148105	1.299059	-0.550842	-0.013611	0.075753	-32.103961	-81.069977	166.658262
61131	3150240	9.674758	-1.186766	1.334793	-0.541027	-0.026321	0.065440	-32.244679	-81.069027	166.722252
61132	3150265	9.698144	-1.195050	1.340073	-0.540337	-0.032826	0.066465	-32.389239	-81.068761	166.790231
61133	3150290	9.677531	-1.179870	1.330825	-0.526735	-0.050466	0.064175	-32.538722	-81.070776	166.865165
61134	3150315	9.689939	-1.155168	1.340208	-0.519125	-0.062875	0.064498	-32.693559	-81.074264	166.946491
61135	3150340	9.647335	-1.144028	1.309690	-0.506686	-0.075179	0.064161	-32.852491	-81.079194	167.033896
61136	3150365	9.644721	-1.138334	1.256564	-0.509274	-0.076698	0.064965	-33.013299	-81.084206	167.122823
61137	3150390	9.648965	-1.123066	1.219408	-0.507429	-0.078486	0.061429	-33.172170	-81.089671	167.210056
61138	3150415	9.625720	-1.088507	1.171665	-0.510624	-0.078638	0.067684	-33.336556	-81.094655	167.302261
61139	3150440	9.638310	-1.066276	1.107992	-0.517803	-0.076726	0.074665	-33.506423	-81.098788	167.399118
61140	3150465	9.609542	-1.076990	1.037537	-0.533074	-0.058973	0.076365	-33.670899	-81.100623	167.488302
61141	3150490	9.590141	-1.116970	1.062639	-0.550175	-0.040805	0.087380	-33.837004	-81.099379	167.576657
61142	3150515	9.599741	-1.093700	1.094587	-0.565684	-0.026406	0.090607	-34.000452	-81.096156	167.659909
61143	3150540	9.598212	-1.118642	1.139711	-0.563379	-0.016043	0.111419	-34.173843	-81.089965	167.753726
61144	3150565	9.671230	-1.111741	1.133088	-0.555018	-0.010459	0.109077	-34.341211	-81.083258	167.842661
61145	3150590	9.738940	-1.053777	1.074865	-0.565143	-0.003347	0.117050	-34.512162	-81.075025	167.933754
61146	3150615	9.748630	-0.975490	1.103016	-0.579378	0.004227	0.113952	-34.678738	-81.066139	168.018180
