PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw	Latitude	Longitude	Altitude
04554	6604399	9.521805	-1.586480	1.653921	-0.010771	0.020756	-0.002815	-45.450323	-77.046787	-136.435815	39.979145831	116.338928808	47.213551
04555	6604424	9.524545	-1.590601	1.656581	-0.009936	0.011720	-0.004435	-45.445256	-77.046869	-136.442496	39.979145830	116.338928809	47.213288
04556	6604449	9.519025	-1.603018	1.652532	-0.007826	0.008726	-0.001462	-45.442514	-77.046949	-136.446480	39.979145828	116.338928811	47.213025
04557	6604474	9.524565	-1.593334	1.648586	-0.004131	0.006597	-0.003193	-45.439431	-77.047419	-136.450271	39.979145826	116.338928812	47.212548
04558	6604499	9.542450	-1.593384	1.657889	-0.000380	0.002331	-0.003852	-45.437416	-77.048385	-136.452416	39.979145825	116.338928813	47.212284
04559	6604524	9.520365	-1.603030	1.664505	0.000760	-0.001864	-0.004473	-45.436827	-77.049835	-136.452929	39.979145823	116.338928815	47.212021
04560	6604549	9.527272	-1.601649	1.661833	0.006051	0.000671	-0.003864	-45.434621	-77.050970	-136.454324	39.979145821	116.338928816	47.211757
04561	6604574	9.554830	-1.612618	1.656518	0.004503	-0.004436	-0.002550	-45.435478	-77.052483	-136.452803	39.979145819	116.338928818	47.211494
04562	6604599	9.538302	-1.607117	1.651205	0.002877	-0.004843	0.000267	-45.437981	-77.053749	-136.449833	39.979145818	116.338928819	47.211231
04563	6604624	9.549295	-1.619529	1.657830	0.002804	-0.003615	0.001404	-45.440446	-77.054776	-136.446912	39.979145816	116.338928821	47.210967
04564	6604649	9.542430	-1.615365	1.655179	0.004825	-0.001864	-0.004058	-45.439457	-77.056185	-136.447239	39.979145814	116.338928822	47.210704
04565	6604674	9.553510	-1.608421	1.635246	0.000848	-0.002730	-0.003210	-45.439792	-77.057594	-136.446790	39.979145813	116.338928824	47.213299
04566	6604699	9.560387	-1.611182	1.639244	-0.001094	0.003427	-0.002915	-45.437800	-77.058354	-136.449016	39.979145811	116.338928825	47.213039
04567	6604724	9.564564	-1.605657	1.625953	-0.004160	0.003973	0.003035	-45.438607	-77.058452	-136.448819	39.979145809	116.338928827	47.212779
04568	6604749	9.552166	-1.602882	1.624632	-0.003424	0.004050	0.000405	-45.438125	-77.058811	-136.449838	39.979145807	116.338928828	47.212519
04569	6604774	9.554939	-1.591866	1.623350	-0.006986	0.005624	-0.004788	-45.435182	-77.059541	-136.453905	39.979145806	116.338928830	47.212260
04570	6604799	9.553510	-1.604300	1.637926	-0.007813	0.004956	0.001056	-45.435210	-77.059742	-136.455045	39.979145804	116.338928832	47.212000
04571	6604824	9.567335	-1.605615	1.617972	-0.007267	0.002082	-0.000504	-45.435754	-77.060392	-136.455576	39.979145802	116.338928833	47.211741
04572	6604849	9.567362	-1.602857	1.608663	-0.003996	-0.001402	0.004180	-45.439426	-77.060913	-136.452416	39.979145801	116.338928835	47.211482
04573	6604874	9.563233	-1.575358	1.623388	-0.007255	-0.004140	0.003333	-45.444410	-77.061796	-136.448388	39.979145799	116.338928836	47.218107
04574	6604899	9.571511	-1.594550	1.608711	-0.009400	-0.004436	0.004451	-45.450324	-77.062595	-136.443722	39.979145797	116.338928838	47.217855
04575	6604924	9.559224	-1.586160	1.567490	-0.009550	-0.004815	0.008662	-45.458270	-77.063001	-136.436993	39.979145796	116.338928839	47.217603
04576	6604949	9.574409	-1.594343	1.551539	-0.004245	-0.009191	0.004935	-45.465772	-77.064228	-136.429941	39.979145794	116.338928841	47.217352
04577	6604974	9.582734	-1.598405	1.524923	0.006458	-0.008255	0.004956	-45.471335	-77.065358	-136.423304	39.979145792	116.338928842	47.217100
04578	6604999	9.600720	-1.605126	1.492981	0.006913	-0.005797	0.003763	-45.475219	-77.066363	-136.418324	39.979145791	116.338928844	47.216849
04579	6605024	9.589755	-1.588538	1.477116	0.017028	-0.005873	-0.000119	-45.475990	-77.067772	-136.415051	39.979145789	116.338928846	47.216598
04580	6605049	9.607735	-1.587116	1.450477	0.023080	-0.004460	0.005901	-45.477900	-77.068424	-136.409719	39.979145787	116.338928847	47.216347
04581	6605074	9.636669	-1.604963	1.442487	0.028393	0.001752	0.001854	-45.474514	-77.068866	-136.409040	39.979145786	116.338928849	47.220862
04582	6605099	9.633988	-1.591082	1.418577	0.032103	0.005439	-0.001580	-45.467457	-77.069288	-136.411584	39.979145784	116.338928850	47.220617
04583	6605124	9.640892	-1.596566	1.407956	0.030151	0.011767	-0.002353	-45.457526	-77.069153	-136.417363	39.979145782	116.338928852	47.220372
04584	6605149	9.632627	-1.562237	1.425333	0.029697	0.016598	-0.001608	-45.445839	-77.068456	-136.425010	39.979145781	116.338928853	47.220128
04585	6605174	9.618898	-1.556669	1.410738	0.025986	0.022845	-0.000261	-45.432498	-77.066994	-136.434900	39.979145779	116.338928855	47.219884
04586	6605199	9.577447	-1.552728	1.459950	0.024185	0.029925	0.002486	-45.417474	-77.064539	-136.446781	39.979145777	116.338928856	47.219640
04587	6605224	9.577411	-1.552792	1.478520	0.024575	0.034140	0.004435	-45.401382	-77.061461	-136.459701	39.979145775	116.338928858	47.219396
04588	6605249	9.575932	-1.572159	1.505044	0.025472	0.040336	-0.004682	-45.378427	-77.058688	-136.479531	39.979145774	116.338928859	47.219152
04589	6605274	9.559250	-1.591588	1.550205	0.023600	0.039609	-0.002621	-45.356974	-77.055776	-136.498095	39.979145772	116.338928861	47.220575
04590	6605299	9.511031	-1.562744	1.563583	0.026909	0.041585	-0.005616	-45.332870	-77.052970	-136.518894	39.979145770	116.338928862	47.220333
04591	6605324	9.498492	-1.586301	1.608691	0.029776	0.042517	-0.002453	-45.309337	-77.049745	-136.538685	39.979145769	116.338928864	47.220090
04592	6605349	9.465441	-1.554669	1.619431	0.034258	0.041416	-0.007637	-45.283388	-77.047156	-136.560296	39.979145767	116.338928865	47.219848
04593	6605374	9.483280	-1.572645	1.636671	0.039770	0.042574	-0.006211	-45.256773	-77.044304	-136.581782	39.979145765	116.338928867	47.219605
04594	6605399	9.455689	-1.579540	1.645928	0.036402	0.037254	-0.009881	-45.231393	-77.042360	-136.602496	39.979145764	116.338928868	47.219361
04595	6605424	9.444690	-1.586370	1.632587	0.036483	0.036110	-0.010006	-45.206458	-77.040541	-136.622740	39.979145762	116.338928870	47.219117
04598	6605449	9.457053	-1.619390	1.629854	0.037827	0.035414	-0.009868	-45.181706	-77.038777	-136.642600	39.979145760	116.338928871	47.218873
04599	6605474	9.455714	-1.611106	1.620539	0.036134	0.035387	-0.007555	-45.152630	-77.036363	-136.667187	39.979146244	116.338928487	47.222903
04600	6605499	9.455726	-1.613833	1.613886	0.037909	0.036497	-0.005467	-45.129333	-77.034038	-136.685542	39.979146242	116.338928488	47.222671
04601	6605524	9.451606	-1.608307	1.607289	0.034815	0.033064	-0.010142	-45.105947	-77.032533	-136.704442	39.979146241	116.338928490	47.222438
04602	6605549	9.469504	-1.576745	1.631313	0.033078	0.031693	-0.008960	-45.083938	-77.031045	-136.722186	39.979146239	116.338928491	47.222206
04603	6605574	9.492902	-1.574038	1.647291	0.034828	0.029667	-0.008628	-45.062721	-77.029727	-136.738860	39.979146238	116.338928493	47.221973
04604	6605599	9.513568	-1.567201	1.655310	0.040017	0.023986	-0.006695	-45.044113	-77.028787	-136.752094	39.979146236	116.338928494	47.221740
04605	6605624	9.549431	-1.556179	1.643399	0.046514	0.020166	-0.011230	-45.024265	-77.028692	-136.765645	39.979146235	116.338928496	47.221506
04606	6605649	9.590768	-1.583656	1.630015	0.053239	0.020097	-0.011110	-45.003536	-77.028591	-136.779111	39.979146233	116.338928497	47.221273
04607	6605674	9.583886	-1.554801	1.644740	0.054209	0.017840	-0.013427	-44.982642	-77.028951	-136.792605	39.979146231	116.338928498	47.217769
04608	6605699	9.585242	-1.571307	1.638044	0.054522	0.016056	-0.009841	-44.964065	-77.029129	-136.803676	39.979146230	116.338928500	47.217534
04609	6605724	9.572842	-1.547950	1.652770	0.049448	0.018758	-0.011958	-44.944094	-77.029246	-136.816921	39.979146228	116.338928501	47.217299
04610	6605749	9.568694	-1.546609	1.662065	0.050183	0.019407	-0.006795	-44.926007	-77.028774	-136.828127	39.979146227	116.338928503	47.217063
04611	6605774	9.571316	-1.564667	1.704551	0.054966	0.016500	-0.009900	-44.907143	-77.028910	-136.839425	39.979146225	116.338928504	47.216828
04612	6605799	9.565714	-1.574375	1.735118	0.050242	0.017366	-0.011699	-44.887784	-77.029139	-136.851927	39.979146224	116.338928506	47.216594
04613	6605824	9.549184	-1.549685	1.743192	0.054999	0.017618	-0.011472	-44.867732	-77.029319	-136.864440	39.979146222	116.338928507	47.216359
