PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw	Latitude	Longitude	Altitude
33812	5715249	5.185620	-0.980813	0.823161	0.004296	0.009812	0.241730	-102.248751	-82.210961	96.175010	39.978972887	116.338972174	46.404667
33813	5715274	5.200907	-1.003929	0.752630	-0.014475	-0.009757	0.233796	-102.214598	-82.178279	96.138384	39.978972880	116.338972153	46.412186
33814	5715299	5.257502	-1.016158	0.707405	-0.064839	-0.011206	0.226234	-102.191071	-82.146610	96.105190	39.978972873	116.338972132	46.412111
33815	5715324	5.352683	-1.032477	0.651550	-0.131170	-0.010419	0.218230	-102.178203	-82.116083	96.073163	39.978972866	116.338972111	46.412009
33816	5715349	5.410645	-1.037879	0.613003	-0.219971	-0.002995	0.214946	-102.171439	-82.086240	96.034453	39.978972859	116.338972089	46.411880
33817	5715374	5.474150	-1.052782	0.553182	-0.313494	0.023234	0.201358	-102.154827	-82.059090	95.972272	39.978972851	116.338972068	46.411726
33818	5715399	5.533590	-0.997590	0.508169	-0.415289	0.047730	0.189213	-102.131131	-82.034375	95.888212	39.978972844	116.338972047	46.411544
33820	5715424	5.568169	-0.924625	0.497807	-0.508715	0.084463	0.177440	-102.086979	-82.012407	95.769979	39.978972837	116.338972026	46.411335
33822	5715449	5.648052	-0.906837	0.527193	-0.584194	0.124297	0.170085	-102.015954	-81.992644	95.613685	39.978972830	116.338972004	46.411101
33823	5715474	5.709983	-0.863031	0.583214	-0.632575	0.155704	0.153892	-101.884148	-81.967369	95.472444	39.978973831	116.338972736	46.436347
33824	5715499	5.769088	-0.794612	0.677876	-0.648320	0.181516	0.143559	-101.772400	-81.952920	95.265731	39.978973824	116.338972715	46.436128
33825	5715524	5.781460	-0.716376	0.739321	-0.628144	0.209269	0.130798	-101.633433	-81.941004	95.034439	39.978973817	116.338972694	46.435883
33826	5715549	5.836480	-0.687702	0.793986	-0.575976	0.221969	0.119564	-101.477222	-81.930945	94.793272	39.978973810	116.338972673	46.435613
33827	5715574	5.866643	-0.704433	0.847148	-0.502923	0.238928	0.110498	-101.296051	-81.922539	94.537458	39.978973804	116.338972651	46.435320
