PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
26900	3917565	6.471669	-1.619021	0.947172	0.232357	-0.695625	-0.386137	-68.504886	-81.168167	10.787282
26901	3917590	6.731470	-1.869570	0.999640	0.259955	-0.738485	-0.389366	-68.977876	-81.259188	11.303560
26902	3917615	7.021836	-1.997590	1.019318	0.286244	-0.766097	-0.403208	-69.477136	-81.352803	11.849931
26903	3917640	7.233910	-2.048446	0.992694	0.291829	-0.797190	-0.400016	-70.015923	-81.446769	12.437114
26904	3917665	7.492577	-2.107844	1.043170	0.290625	-0.817766	-0.395686	-70.587386	-81.540290	13.057019
26905	3917690	7.801997	-2.285616	1.118460	0.273441	-0.845278	-0.386901	-71.202671	-81.632957	13.718584
26906	3917715	8.041343	-2.419218	1.166031	0.258793	-0.868869	-0.380194	-71.858311	-81.724713	14.418502
26909	3917740	8.265865	-2.442528	1.128880	0.241731	-0.883548	-0.368251	-72.549076	-81.814278	15.151434
26910	3917765	8.443482	-2.384983	1.173007	0.221768	-0.899865	-0.351010	-73.279045	-81.900861	15.920920
26911	3917790	8.722915	-2.393455	1.228931	0.178865	-0.907843	-0.330579	-74.044747	-81.983527	16.720126
26912	3917815	9.020235	-2.443158	1.255540	0.132917	-0.920288	-0.309284	-74.851166	-82.062196	17.553497
26913	3917840	9.309400	-2.439211	1.283645	0.095607	-0.927833	-0.289126	-75.692000	-82.136668	18.416208
26914	3917865	9.550541	-2.344346	1.278773	0.058088	-0.928352	-0.265297	-76.560622	-82.206067	19.301392
26915	3917890	9.764082	-2.156255	1.355230	0.038503	-0.931201	-0.229782	-77.458651	-82.268734	20.213286
26916	3917915	9.929400	-2.014855	1.418271	0.018385	-0.936734	-0.209875	-78.384046	-82.326818	21.149618
26917	3917940	10.169040	-1.906447	1.481209	0.011545	-0.943569	-0.182758	-79.337001	-82.379207	22.112785
26918	3917965	10.342582	-1.833772	1.514794	0.006175	-0.944870	-0.165150	-80.308271	-82.426987	23.093540
26919	3917990	10.530125	-1.630334	1.535517	0.004287	-0.942679	-0.144915	-81.292868	-82.469637	24.087364
26920	3918015	10.750515	-1.536992	1.569194	0.012110	-0.936391	-0.127973	-82.282889	-82.507505	25.087557
26921	3918040	10.998495	-1.451786	1.589558	0.017093	-0.930377	-0.116187	-83.277048	-82.541314	26.092700
26922	3918065	11.212022	-1.373525	1.611188	0.030214	-0.919243	-0.103584	-84.267313	-82.570884	27.095740
26923	3918090	11.387066	-1.288266	1.604922	0.036193	-0.909025	-0.092818	-85.254123	-82.596540	28.096095
26924	3918115	11.581208	-1.225207	1.649129	0.035343	-0.887890	-0.084008	-86.224874	-82.618510	29.079936
26925	3918140	11.774018	-1.177244	1.679912	0.021122	-0.865051	-0.069544	-87.178798	-82.636086	30.044856
26926	3918165	11.950207	-1.110189	1.748039	0.005193	-0.843203	-0.049181	-88.115807	-82.648573	30.990387
26927	3918190	12.087773	-1.102180	1.815898	-0.005452	-0.815305	-0.033931	-89.026558	-82.656823	31.907883
26928	3918215	12.200590	-1.044714	1.894538	-0.012831	-0.790151	-0.013766	-89.912132	-82.660319	32.798762
26929	3918240	12.267861	-1.020352	1.992986	-0.014719	-0.762777	-0.002503	-90.768096	-82.660486	33.659665
26930	3918265	12.405228	-1.014096	2.135241	-0.015441	-0.739148	0.010413	-91.597347	-82.657255	34.493533
26931	3918290	12.491680	-1.009045	2.266838	-0.022087	-0.720410	0.021449	-92.405333	-82.651017	35.305008
26932	3918315	12.597553	-0.962645	2.364041	-0.020222	-0.699422	0.025705	-93.187897	-82.642887	36.090966
26933	3918340	12.713033	-0.943810	2.458504	-0.017603	-0.684586	0.025085	-93.951970	-82.633610	36.858840
26934	3918365	12.827111	-0.920807	2.562301	-0.020292	-0.669667	0.029306	-94.697534	-82.622596	37.607681
26935	3918390	12.982477	-0.980260	2.635219	-0.018956	-0.652278	0.040352	-95.420284	-82.608995	38.333730
26936	3918415	13.106220	-0.981910	2.715044	-0.012004	-0.639562	0.035390	-96.125797	-82.595135	39.043241
26937	3918440	13.267272	-0.972549	2.753706	-0.008093	-0.625157	0.044172	-96.811244	-82.579137	39.733290
26938	3918465	13.402164	-0.982264	2.773680	-0.004321	-0.609131	0.054093	-97.474248	-82.560968	40.401277
26939	3918490	13.532895	-1.007118	2.804237	-0.008795	-0.590347	0.051892	-98.114558	-82.542495	41.045758
26940	3918515	13.680143	-1.060828	2.813490	-0.007899	-0.567494	0.060578	-98.725265	-82.522372	41.660341
26941	3918540	13.830109	-1.168169	2.810527	-0.002931	-0.536916	0.068787	-99.297755	-82.500937	42.237326
26942	3918565	13.978760	-1.265722	2.785111	-0.004357	-0.513667	0.082338	-99.839756	-82.477412	42.783381
26943	3918590	14.088793	-1.423778	2.751373	-0.005084	-0.477168	0.092523	-100.337626	-82.452719	43.284846
26944	3918615	14.098361	-1.558330	2.701798	-0.006402	-0.442553	0.097303	-100.794647	-82.427730	43.744728
26945	3918640	14.181004	-1.603605	2.661892	0.003734	-0.395744	0.109087	-101.195551	-82.401895	44.149704
26946	3918665	14.248411	-1.705304	2.640259	-0.000767	-0.349313	0.128870	-101.541436	-82.374246	44.498546
26947	3918690	14.303334	-1.827713	2.629306	-0.013688	-0.308876	0.144282	-101.841091	-82.345349	44.798901
26948	3918715	14.334875	-1.981666	2.588964	-0.015768	-0.259252	0.163578	-102.082821	-82.315048	45.040301
26949	3918740	14.322454	-2.077696	2.548723	-0.025176	-0.215176	0.179452	-102.275043	-82.283719	45.230627
