PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
38050	4190815	9.520864	-0.857041	1.897357	-0.042608	-0.102991	0.000823	-20.893435	-77.414822	164.842142
38051	4190840	9.527748	-0.852959	1.900031	-0.062889	-0.101323	0.003326	-20.926895	-77.429049	164.867180
38052	4190865	9.496022	-0.844751	1.925303	-0.079194	-0.108837	0.004408	-20.965136	-77.444222	164.894721
38053	4190890	9.476767	-0.821423	1.934646	-0.085379	-0.112017	0.005122	-21.005505	-77.459779	164.923534
38054	4190915	9.453376	-0.826842	1.923964	-0.088158	-0.117056	0.005801	-21.048530	-77.476006	164.953030
38055	4190940	9.436910	-0.759495	1.937487	-0.088021	-0.117506	0.005740	-21.091101	-77.492256	164.983707
38056	4190965	9.442488	-0.747056	1.916289	-0.083800	-0.121197	0.007363	-21.135001	-77.508911	165.016362
38057	4190990	9.439662	-0.777378	1.926816	-0.076547	-0.120440	0.007291	-21.177743	-77.525463	165.048893
38058	4191015	9.469938	-0.808946	1.916096	-0.071937	-0.115958	0.003834	-21.217381	-77.541625	165.077294
38059	4191040	9.492055	-0.829406	1.870861	-0.068443	-0.118436	0.005199	-21.257418	-77.558008	165.108239
38060	4191065	9.485101	-0.906384	1.854670	-0.056151	-0.114815	0.004596	-21.294566	-77.573934	165.138028
38061	4191090	9.465813	-0.958508	1.822593	-0.055102	-0.106081	0.002943	-21.328579	-77.588777	165.164758
38062	4191115	9.440997	-0.988752	1.818489	-0.042935	-0.102134	0.002846	-21.360532	-77.603131	165.189523
38063	4191140	9.428599	-1.007940	1.810449	-0.042355	-0.098671	-0.004452	-21.386604	-77.617365	165.209990
38064	4191165	9.468620	-0.999613	1.777292	-0.046299	-0.088690	-0.013115	-21.405647	-77.630719	165.222682
38065	4191190	9.450712	-1.007846	1.777236	-0.050762	-0.086035	-0.015375	-21.423355	-77.643836	165.233350
38066	4191215	9.482272	-1.014912	1.817080	-0.060010	-0.080349	-0.012533	-21.443406	-77.656081	165.243402
38067	4191240	9.472620	-1.006658	1.825111	-0.068836	-0.086424	-0.013168	-21.465204	-77.669133	165.255607
38068	4191265	9.461569	-0.991608	1.849048	-0.075261	-0.086999	-0.005542	-21.492752	-77.681861	165.272755
38069	4191290	9.451936	-0.940864	1.881074	-0.078858	-0.094138	-0.008230	-21.520939	-77.695679	165.290028
38070	4191315	9.464325	-0.932619	1.885098	-0.081868	-0.099739	0.001077	-21.557277	-77.709788	165.313528
38071	4191340	9.469873	-0.891408	1.893214	-0.086024	-0.106932	0.007208	-21.599150	-77.724492	165.343756
38072	4191365	9.452010	-0.850149	1.901310	-0.089088	-0.114152	0.007442	-21.643445	-77.740141	165.376012
38073	4191390	9.472709	-0.833645	1.897374	-0.094457	-0.128818	0.014009	-21.696213	-77.757389	165.416148
38074	4191415	9.511262	-0.867959	1.878698	-0.097036	-0.138469	0.014126	-21.752548	-77.775941	165.457875
38075	4191440	9.543000	-0.854168	1.861496	-0.108643	-0.146610	0.020061	-21.815716	-77.795217	165.506569
38076	4191465	9.566399	-0.880235	1.848114	-0.109427	-0.155921	0.021715	-21.882492	-77.815631	165.558835
38077	4191490	9.563671	-0.928217	1.810808	-0.107491	-0.163539	0.017549	-21.948513	-77.837267	165.610608
