PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
04484	4974415	9.712897	-0.245191	0.876230	-0.212935	-0.009829	0.060460	-18.879812	-84.776917	164.201041
04485	4974440	9.694976	-0.239751	0.889508	-0.211222	-0.007208	0.064532	-19.007227	-84.775723	164.298586
04486	4974465	9.670246	-0.212196	0.880304	-0.216630	-0.004859	0.062899	-19.131744	-84.774269	164.392443
04487	4974490	9.694945	-0.242480	0.898792	-0.217952	-0.006689	0.068538	-19.265668	-84.772776	164.495557
04488	4974515	9.693543	-0.253530	0.901448	-0.227124	-0.005914	0.064151	-19.394434	-84.771300	164.592068
04489	4974540	9.675608	-0.250843	0.920050	-0.226817	-0.010984	0.067329	-19.529956	-84.770403	164.695511
04490	4974565	9.710049	-0.232978	0.922762	-0.230630	-0.010344	0.062668	-19.658777	-84.769621	164.791677
04491	4974590	9.683871	-0.237103	0.926741	-0.235949	-0.009866	0.060277	-19.784551	-84.768871	164.884019
04492	4974615	9.675612	-0.253585	0.914707	-0.241478	-0.009294	0.063659	-19.916223	-84.767794	164.981387
04493	4974640	9.661847	-0.263136	0.905387	-0.248607	-0.013103	0.065000	-20.052414	-84.767210	165.082369
04494	4974665	9.671487	-0.248098	0.918717	-0.246657	-0.014357	0.066794	-20.191610	-84.766684	165.186649
04495	4974690	9.681123	-0.234348	0.925408	-0.245672	-0.016358	0.065725	-20.330158	-84.766457	165.290419
04496	4974715	9.692191	-0.237026	0.902821	-0.247435	-0.016963	0.067618	-20.472506	-84.766126	165.397655
04497	4974740	9.707427	-0.202613	0.888323	-0.255723	-0.015830	0.069836	-20.618194	-84.765575	165.507150
04498	4974765	9.688181	-0.199803	0.875052	-0.260685	-0.016133	0.070623	-20.765884	-84.764998	165.617942
04499	4974790	9.706104	-0.190148	0.873772	-0.265990	-0.015156	0.071152	-20.914533	-84.764238	165.728933
04500	4974815	9.670253	-0.194308	0.887014	-0.275885	-0.011131	0.070053	-21.061140	-84.762903	165.836358
04501	4974840	9.682647	-0.190199	0.892351	-0.278534	-0.003128	0.074343	-21.209352	-84.760318	165.945108
04502	4974865	9.663402	-0.183284	0.880405	-0.282162	-0.004317	0.079836	-21.366620	-84.757581	166.062430
04503	4974890	9.655162	-0.186038	0.872421	-0.291638	-0.001322	0.074358	-21.515435	-84.754702	166.169901
04504	4974915	9.673062	-0.183288	0.873747	-0.295381	-0.003079	0.080110	-21.674417	-84.751660	166.286955
04505	4974940	9.682759	-0.146146	0.873896	-0.291286	0.000656	0.082166	-21.833043	-84.748050	166.404330
04506	4974965	9.678622	-0.125547	0.887230	-0.286743	0.002985	0.080301	-21.986778	-84.744201	166.517447
04507	4974990	9.674405	-0.158619	0.901746	-0.290254	0.002715	0.079320	-22.139564	-84.740413	166.629107
04508	4975015	9.706079	-0.197064	0.883035	-0.290395	0.005747	0.076652	-22.286957	-84.736273	166.735250
04509	4975040	9.728114	-0.190212	0.885729	-0.288020	0.007373	0.074387	-22.429193	-84.732084	166.836637
04510	4975065	9.719951	-0.146138	0.869941	-0.293413	0.007761	0.078213	-22.577261	-84.727610	166.943108
04511	4975090	9.717321	-0.114406	0.840794	-0.295220	0.012222	0.077057	-22.721048	-84.722586	167.045019
04512	4975115	9.740741	-0.104769	0.840850	-0.300206	0.012141	0.075556	-22.863606	-84.717564	167.144903
04513	4975140	9.771056	-0.102028	0.835564	-0.307070	0.018494	0.075942	-23.003243	-84.711728	167.240945
04514	4975165	9.783506	-0.079997	0.828962	-0.300348	0.016427	0.075112	-23.141734	-84.706190	167.336802
04515	4975190	9.790354	-0.103356	0.828934	-0.296833	0.014853	0.072919	-23.277323	-84.700961	167.430252
04516	4975215	9.802740	-0.100616	0.832932	-0.301380	0.020511	0.074401	-23.412335	-84.694817	167.522400
04517	4975240	9.820617	-0.118492	0.828914	-0.298226	0.017989	0.072716	-23.545441	-84.689147	167.613158
04520	4975265	9.793044	-0.121312	0.843470	-0.292267	0.017586	0.068192	-23.671325	-84.683771	167.697520
04521	4975290	9.779235	-0.104856	0.867429	-0.287522	0.016959	0.069563	-23.798636	-84.678381	167.783999
04522	4975315	9.753004	-0.140652	0.872619	-0.278746	0.018294	0.069629	-23.924078	-84.672728	167.869801
04523	4975340	9.778901	-0.238482	0.920126	-0.271799	0.017092	0.066893	-24.044877	-84.667441	167.952003
04524	4975365	9.755266	-0.307438	0.977016	-0.245076	0.009720	0.060317	-24.157071	-84.663487	168.029407
04525	4975390	9.722129	-0.321277	0.996903	-0.227571	0.005350	0.048465	-24.252806	-84.660787	168.092800
04526	4975415	9.679365	-0.335076	1.020708	-0.203086	-0.000186	0.044286	-24.342945	-84.658979	168.154038
04527	4975440	9.722246	-0.278551	0.977113	-0.191239	-0.001241	0.034791	-24.418432	-84.657929	168.202322
